Dia,Queso 1,Queso 2,Queso 3,Queso 4,Queso 5,Queso 6,Queso 7,Queso 8
1.0,1516.5,1496.0,1434.5,1414.5,1580.0,1536.5,1560.5,1507.5
2.0,1508.0,1487.0,1420.5,,1571.5,1527.5,1552.5,
3.0,1499.5,1476.5,,,1557.5,1516.0,,
4.0,1489.0,,,1375.5,1547.0,,,1438.5
5.0,,,1389.5,1359.0,,,1494.0,1412.0
6.0,,1445.0,1375.5,1346.0,,1460.5,1471.5,1384.5
7.0,1458.0,1431.0,1365.0,1330.0,1493.5,1437.0,1447.0,1371.5
8.0,1443.0,1420.0,1351.5,1316.5,1474.0,1411.0,1436.0,1362.0
9.0,1432.0,1408.0,1341.5,,1453.0,1398.0,1428.0,
10.0,1419.0,1399.0,,,1442.5,1388.0,,
11.0,1408.5,,,1266.0,1433.5,,,1326.0
12.0,,,1304.5,1251.0,,,1395.5,1318.0
13.0,,1364.0,,1236.0,,1352.5,1390.5,
14.0,1370.0,1353.5,1281.0,1229.5,1404.0,1345.0,,1298.5
15.0,1357.0,1343.0,1275.5,1223.5,1397.5,,1373.0,1295.0
16.0,1343.0,1338.0,1271.0,,,1326.0,1362.0,
17.0,1336.0,1332.5,,,1380.5,1311.5,,
18.0,1330.0,,,1201.5,1366.5,,,1261.0
19.0,,,1252.5,1197.0,,,1342.5,1252.0
20.0,,1314.5,1249.5,,,1286.0,1336.5,1245.5
21.0,1308.0,1310.0,,1184.0,1343.0,1278.0,1331.0,1240.0
22.0,1303.5,,1239.0,1174.0,1334.5,1270.5,1327.0,1233.0
23.0,,1299.0,1230.5,,1327.5,1265.0,1322.0,
24.0,1289.5,1291.0,,,1322.5,1257.5,,
25.0,1279.0,,,1157.0,1315.0,,,1215.5
26.0,,,1217.0,1151.5,,,1308.5,1210.5
27.0,,1275.0,1212.5,,,1240.0,1304.0,1206.0
28.0,1259.0,1270.5,1208.5,1143.0,1297.5,1234.5,1300.5,1201.5
29.0,1253.0,1265.5,1205.5,1137.5,1292.0,1229.5,1297.5,1197.0
30.0,1247.0,1262.0,1201.5,,1286.5,1225.0,1294.0,
31.0,1242.5,1257.0,,,1282.0,1220.5,,
32.0,1236.5,,,1124.5,1277.0,,,
33.0,,,1190.5,1121.0,,,,1179.0
34.0,,1245.5,1187.5,1117.5,,,1279.5,1173.0
35.0,1222.0,1242.0,1184.0,1114.5,,1200.0,1275.0,1170.0
36.0,1218.0,1238.5,1182.0,1110.5,1257.5,1194.0,1272.5,1167.0
37.0,1213.5,1236.0,1179.0,,1251.0,1190.0,1270.0,
38.0,1210.0,1232.0,,,1247.5,1186.0,,
39.0,1206.0,,,,1243.5,,,1155.0
40.0,,,,1096.0,,,1259.0,1150.0
41.0,,,1167.0,1091.5,,1171.0,1256.5,1147.0
42.0,,1219.0,1163.0,1088.5,1229.5,1167.0,1253.5,1143.5
43.0,1189.5,1214.0,1160.5,1086.5,1225.0,1163.5,1251.0,1139.5
44.0,1184.0,1211.5,1158.5,,1221.0,1159.0,1247.5,
45.0,1180.5,1209.0,,,1217.0,1155.0,,
46.0,1178.0,,,1075.0,1212.5,,,1128.5
47.0,,,1149.0,1072.5,,,1238.5,
48.0,,1198.5,1146.5,1069.5,,1143.0,,1121.5
49.0,1165.5,1196.0,1144.0,1066.0,1200.0,,1232.0,1117.5
50.0,1161.5,1193.0,1141.5,1063.0,,1134.0,,1115.0
51.0,1158.5,1190.0,1138.5,,1191.5,1129.0,1226.0,
52.0,1155.0,1186.5,,,1186.5,1125.5,,
53.0,1151.5,,,1053.5,1183.5,,,1105.0
54.0,,,1131.0,,,,1218.0,1103.5
55.0,,,,1047.0,,1114.5,1217.0,1101.0
56.0,1140.5,,1125.0,1043.0,1171.0,1112.5,1215.0,1098.5
57.0,,1171.0,1122.0,1040.5,1169.5,1110.0,1212.5,1095.0
58.0,1132.5,1167.0,1116.5,,1166.0,1106.5,1209.0,
59.0,1129.0,1165.0,,,1163.0,1102.0,,
60.0,1125.0,,,1032.0,1158.5,,,
